"","date","total_swipes","unique_visitors","sum_first_time"
"1",2013-06-15,175,166,172
"2",2013-06-16,131,120,131
"3",2013-06-17,318,293,314
"4",2013-06-18,317,292,312
"5",2013-06-19,322,307,318
"6",2013-06-20,10,8,10
"7",2013-06-21,8,7,8
"8",2013-06-22,3,2,3
"9",2013-06-24,491,447,477
"10",2013-06-25,463,434,445
"11",2013-06-26,435,407,426
"12",2013-06-27,385,372,374
"13",2013-06-28,288,268,282
"14",2013-06-29,172,159,172
"15",2013-06-30,128,122,126
"16",2013-07-01,409,380,402
"17",2013-07-02,425,391,418
"18",2013-07-03,369,340,362
"19",2013-07-05,198,188,197
"20",2013-07-06,184,180,181
"21",2013-07-07,207,187,204
"22",2013-07-08,437,409,427
"23",2013-07-09,439,408,428
"24",2013-07-10,446,413,438
"25",2013-07-11,402,364,394
"26",2013-07-12,318,303,311
"27",2013-07-13,162,148,160
"28",2013-07-14,171,162,170
"29",2013-07-15,433,385,428
"30",2013-07-16,407,378,397
"31",2013-07-17,407,385,400
"32",2013-07-18,393,360,381
"33",2013-07-19,347,326,345
"34",2013-07-20,152,146,150
"35",2013-07-21,154,144,151
"36",2013-07-22,405,387,399
"37",2013-07-23,457,414,445
"38",2013-07-24,375,352,367
"39",2013-07-25,370,343,366
"40",2013-07-26,304,287,300
"41",2013-07-27,175,161,168
"42",2013-07-28,144,136,142
"43",2013-07-29,399,373,396
"44",2013-07-30,327,306,325
"45",2013-07-31,391,371,383
"46",2013-08-01,332,320,330
"47",2013-08-02,314,291,308
"48",2013-08-03,146,143,142
"49",2013-08-04,149,141,149
"50",2013-08-05,410,388,401
"51",2013-08-06,350,324,348
"52",2013-08-07,400,375,385
"53",2013-08-08,310,283,305
"54",2013-08-09,303,280,299
"55",2013-08-10,40,24,40
"56",2013-08-11,4,2,4
"57",2013-08-12,1,1,1
"58",2013-08-13,192,178,191
"59",2013-08-14,327,306,322
"60",2013-08-15,304,286,299
"61",2013-08-16,279,249,278
"62",2013-08-17,149,141,149
"63",2013-08-18,125,117,122
"64",2013-08-19,366,343,354
"65",2013-08-20,368,344,364
"66",2013-08-21,319,301,311
"67",2013-08-22,289,270,283
"68",2013-08-23,252,244,245
"69",2013-08-24,143,134,134
"70",2013-08-25,116,113,114
"71",2013-08-26,364,345,358
"72",2013-08-27,358,333,348
"73",2013-08-28,371,345,358
"74",2013-08-29,278,266,278
"75",2013-08-30,227,220,225
"76",2013-08-31,113,107,111
"77",2013-09-01,120,115,119
"78",2013-09-03,375,353,364
"79",2013-09-04,360,345,355
"80",2013-09-05,325,309,318
"81",2013-09-06,299,279,294
"82",2013-09-07,187,151,185
"83",2013-09-08,141,134,139
"84",2013-09-09,333,319,326
"85",2013-09-10,401,369,396
"86",2013-09-11,358,334,348
"87",2013-09-12,317,301,313
"88",2013-09-13,249,238,242
"89",2013-09-14,174,168,173
"90",2013-09-15,150,144,149
"91",2013-09-16,444,391,431
"92",2013-09-17,474,434,463
"93",2013-09-18,272,251,259
"94",2013-09-19,209,195,201
"95",2013-09-20,211,189,199
"96",2013-09-21,281,267,257
"97",2013-09-22,331,312,286
"98",2013-09-23,822,716,765
"99",2013-09-24,918,818,908
"100",2013-09-25,1011,928,1007
"101",2013-09-26,998,914,996
"102",2013-09-27,798,728,767
"103",2013-09-28,445,421,424
"104",2013-09-29,441,423,401
"105",2013-09-30,1244,1141,1143
"106",2013-10-01,1081,991,1006
"107",2013-10-02,1057,973,1013
"108",2013-10-03,981,915,945
"109",2013-10-04,759,702,731
"110",2013-10-05,433,400,430
"111",2013-10-06,357,340,356
"112",2013-10-07,1189,1088,1146
"113",2013-10-08,998,919,969
"114",2013-10-09,1006,939,968
"115",2013-10-10,846,778,811
"116",2013-10-11,834,761,811
"117",2013-10-12,388,367,381
"118",2013-10-13,322,303,313
"119",2013-10-14,973,891,951
"120",2013-10-15,915,865,890
"121",2013-10-16,932,883,906
"122",2013-10-17,796,737,779
"123",2013-10-18,796,737,774
"124",2013-10-19,423,394,415
"125",2013-10-20,347,336,338
"126",2013-10-21,1053,971,1033
"127",2013-10-22,919,855,901
"128",2013-10-23,893,832,873
"129",2013-10-24,787,749,772
"130",2013-10-25,751,694,736
"131",2013-10-26,368,349,364
"132",2013-10-27,324,306,319
"133",2013-10-28,972,907,959
"134",2013-10-29,862,794,848
"135",2013-10-30,883,845,869
"136",2013-10-31,727,673,716
"137",2013-11-01,699,647,686
"138",2013-11-02,454,419,450
"139",2013-11-03,388,367,379
"140",2013-11-04,1035,966,1022
"141",2013-11-05,1008,933,993
"142",2013-11-06,986,934,973
"143",2013-11-07,757,715,743
"144",2013-11-08,717,682,708
"145",2013-11-09,383,365,377
"146",2013-11-10,333,317,332
"147",2013-11-11,567,542,559
"148",2013-11-12,949,876,931
"149",2013-11-13,899,842,890
"150",2013-11-14,863,796,848
"151",2013-11-15,693,653,686
"152",2013-11-16,471,444,464
"153",2013-11-17,407,387,403
"154",2013-11-18,969,914,958
"155",2013-11-19,922,867,913
